SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 10, 2020	August 07, 2020	August 06, 2020	August 05, 2020	August 04, 2020
Chinese yuan		0.1018250000	0.1018910000	0.1018820000	0.1017000000
Euro		0.8375350000	0.8382420000	0.8395240000	0.8359500000
Japanese yen		0.0067129600	0.0067070500	0.0067066300	0.0066956300
U.K. pound		0.9268730000	0.9322720000	0.9294330000	0.9260470000
U.S. dollar		0.7087540000	0.7077950000	0.7082200000	0.7105400000
Algerian dinar			0.0055220600	0.0055181500	0.0055289900
Australian dollar		0.5107990000	0.5101080000	0.5085730000	0.5067570000
Botswana pula		0.0603858000	0.0607288000	0.0606945000	0.0611064000
Brazilian real		0.1307160000	0.1324840000	0.1342500000	0.1332520000
Brunei dollar		0.5164340000	0.5167900000	0.5164590000	0.5163810000
Canadian dollar		0.5298300000	0.5324970000	0.5340220000	0.5313640000
Chilean peso		0.0009119560	0.0009134960	0.0009221850	0.0009332760
Colombian peso			0.0001874480	0.0001867190	0.0001885530
Czech koruna		0.0318670000	0.0319907000	0.0322035000	0.0318814000
Danish krone		0.1124470000	0.1125160000	0.1126750000	0.1122660000
Indian rupee		0.0094556500	0.0094550300	0.0094544600	0.0094625900
Israeli New Shekel		0.2079070000	0.2076250000	0.2075670000	0.2075180000
Korean won		0.0005984580	0.0005946360	0.0005933980	0.0005952420
Kuwaiti dinar			2.3172200000	2.3170900000	2.3231600000
Malaysian ringgit		0.1688510000	0.1690260000	0.1686040000	0.1684740000
Mauritian rupee		0.0177602000	0.0177221000	0.0177094000	0.0177903000
Mexican peso		0.0315153000	0.0316472000	0.0316074000	0.0311852000
New Zealand dollar		0.4736600000	0.4700470000	0.4699750000	0.4698800000
Norwegian krone		0.0786910000	0.0786797000	0.0787655000	0.0777132000
Omani rial					
Peruvian sol		0.1998180000	0.1996600000	0.1997800000	0.2003780000
Philippine peso		0.0144482000	0.0144289000	0.0144199000	0.0144701000
Polish zloty		0.1900040000	0.1900630000	0.1906740000	0.1901670000
Qatari riyal			0.1944490000	0.1945660000	0.1952030000
Russian ruble		0.0096248900	0.0096905500	0.0096645000	0.0096829400
Saudi Arabian riyal					
Singapore dollar		0.5164340000	0.5167900000	0.5164590000	0.5163810000
South African rand		0.0404278000	0.0403242000	0.0412055000	0.0407012000
Swedish krona		0.0814182000	0.0815394000	0.0813513000	0.0814905000
Swiss franc		0.7755270000	0.7790380000	0.7780500000	0.7760380000
Thai baht		0.0227354000	0.0227814000	0.0228399000	0.0228301000
Trinidadian dollar		0.1047180000	0.1047440000	0.1048050000	0.1055760000
U.A.E. dirham			0.1927280000	0.1928440000	0.1934760000
Uruguayan peso		0.0166210000	0.0165690000	0.0166432000	0.0166127000

Currency units per SDR(3)

Currency	August 10, 2020	August 07, 2020	August 06, 2020	August 05, 2020	August 04, 2020
Chinese yuan		9.820770	9.814410	9.815280	9.832840
Euro		1.193980	1.192970	1.191150	1.196240
Japanese yen		148.966000	149.097000	149.106000	149.351000
